Candle 16;ADX 16;Cnadle 15;ADX 15;Cnadle 14;ADX 14;Cnadle 13;ADX 13;Cnadle 12;ADX 12;Cnadle 11;ADX 11;Cnadle 10;ADX 10;Cnadle 9;ADX 9;Cnadle 8;ADX 8;Cnadle 7;ADX 7;Cnadle 6;ADX 6;Cnadle 5;ADX 5;Cnadle 4;ADX 4;Cnadle 3;ADX 3;Cnadle 2;ADX 2;Cnadle 1;ADX 1;Cod Close Price
145;604;243;505;134;406;135;506;222;417;232;317;251;317;255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;2
243;505;134;406;135;506;222;417;232;317;251;317;255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;2
134;406;135;506;222;417;232;317;251;317;255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;2
135;506;222;417;232;317;251;317;255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;1
222;417;232;317;251;317;255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;1
232;317;251;317;255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;2
251;317;255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;2
255;226;123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;251;323;1
123;325;155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;251;323;133;412;1
155;315;112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;251;323;133;412;121;513;2
112;335;125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;251;323;133;412;121;513;221;413;1
125;534;224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;251;323;133;412;121;513;221;413;133;404;2
224;424;154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;251;323;133;412;121;513;221;413;133;404;242;404;2
154;334;134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;251;323;133;412;121;513;221;413;133;404;242;404;234;315;2
134;423;123;523;222;423;252;433;251;333;154;222;133;322;242;412;251;323;133;412;121;513;221;413;133;404;242;404;234;315;213;215;2
123;523;222;423;252;433;251;333;154;222;133;322;242;412;251;323;133;412;121;513;221;413;133;404;242;404;234;315;213;215;224;234;2
222;423;252;433;251;333;154;222;133;322;242;412;251;323;133;412;121;513;221;413;133;404;242;404;234;315;213;215;224;234;252;144;2
252;433;251;333;154;222;133;322;242;412;251;323;133;412;121;513;221;413;133;404;242;404;234;315;213;215;224;234;252;144;213;134;2
251;333;154;222;133;322;242;412;251;323;133;412;121;513;221;413;133;404;242;404;234;315;213;215;224;234;252;144;213;134;222;134;1
154;222;133;322;242;412;251;323;133;412;121;513;221;413;133;404;242;404;234;315;213;215;224;234;252;144;213;134;222;134;121;34;2
133;322;242;412;251;323;133;412;121;513;221;413;133;404;242;404;234;315;213;215;224;234;252;144;213;134;222;134;121;34;252;25;1
242;412;251;323;133;412;121;513;221;413;133;404;242;404;234;315;213;215;224;234;252;144;213;134;222;134;121;34;252;25;124;225;1
251;323;133;412;121;513;221;413;133;404;242;404;234;315;213;215;224;234;252;144;213;134;222;134;121;34;252;25;124;225;123;314;2
133;412;121;513;221;413;133;404;242;404;234;315;213;215;224;234;252;144;213;134;222;134;121;34;252;25;124;225;123;314;221;414;2
121;513;221;413;133;404;242;404;234;315;213;215;224;234;252;144;213;134;222;134;121;34;252;25;124;225;123;314;221;414;223;324;1
221;413;133;404;242;404;234;315;213;215;224;234;252;144;213;134;222;134;121;34;252;25;124;225;123;314;221;414;223;324;133;224;2
133;404;242;404;234;315;213;215;224;234;252;144;213;134;222;134;121;34;252;25;124;225;123;314;221;414;223;324;133;224;221;223;1
242;404;234;315;213;215;224;234;252;144;213;134;222;134;121;34;252;25;124;225;123;314;221;414;223;324;133;224;221;223;155;122;2
234;315;213;215;224;234;252;144;213;134;222;134;121;34;252;25;124;225;123;314;221;414;223;324;133;224;221;223;155;122;233;222;2
213;215;224;234;252;144;213;134;222;134;121;34;252;25;124;225;123;314;221;414;223;324;133;224;221;223;155;122;233;222;221;232;2
224;234;252;144;213;134;222;134;121;34;252;25;124;225;123;314;221;414;223;324;133;224;221;223;155;122;233;222;221;232;255;142;2
252;144;213;134;222;134;121;34;252;25;124;225;123;314;221;414;223;324;133;224;221;223;155;122;233;222;221;232;255;142;234;142;1
213;134;222;134;121;34;252;25;124;225;123;314;221;414;223;324;133;224;221;223;155;122;233;222;221;232;255;142;234;142;122;133;1
222;134;121;34;252;25;124;225;123;314;221;414;223;324;133;224;221;223;155;122;233;222;221;232;255;142;234;142;122;133;132;233;1
121;34;252;25;124;225;123;314;221;414;223;324;133;224;221;223;155;122;233;222;221;232;255;142;234;142;122;133;132;233;135;123;1
252;25;124;225;123;314;221;414;223;324;133;224;221;223;155;122;233;222;221;232;255;142;234;142;122;133;132;233;135;123;142;323;2
124;225;123;314;221;414;223;324;133;224;221;223;155;122;233;222;221;232;255;142;234;142;122;133;132;233;135;123;142;323;222;233;2
123;314;221;414;223;324;133;224;221;223;155;122;233;222;221;232;255;142;234;142;122;133;132;233;135;123;142;323;222;233;235;242;1
221;414;223;324;133;224;221;223;155;122;233;222;221;232;255;142;234;142;122;133;132;233;135;123;142;323;222;233;235;242;121;133;2
223;324;133;224;221;223;155;122;233;222;221;232;255;142;234;142;122;133;132;233;135;123;142;323;222;233;235;242;121;133;253;133;1
133;224;221;223;155;122;233;222;221;232;255;142;234;142;122;133;132;233;135;123;142;323;222;233;235;242;121;133;253;133;122;323;1
221;223;155;122;233;222;221;232;255;142;234;142;122;133;132;233;135;123;142;323;222;233;235;242;121;133;253;133;122;323;153;223;2
155;122;233;222;221;232;255;142;234;142;122;133;132;233;135;123;142;323;222;233;235;242;121;133;253;133;122;323;153;223;222;222;2
233;222;221;232;255;142;234;142;122;133;132;233;135;123;142;323;222;233;235;242;121;133;253;133;122;323;153;223;222;222;224;142;1
221;232;255;142;234;142;122;133;132;233;135;123;142;323;222;233;235;242;121;133;253;133;122;323;153;223;222;222;224;142;123;232;2
255;142;234;142;122;133;132;233;135;123;142;323;222;233;235;242;121;133;253;133;122;323;153;223;222;222;224;142;123;232;221;122;1
234;142;122;133;132;233;135;123;142;323;222;233;235;242;121;133;253;133;122;323;153;223;222;222;224;142;123;232;221;122;154;132;1
122;133;132;233;135;123;142;323;222;233;235;242;121;133;253;133;122;323;153;223;222;222;224;142;123;232;221;122;154;132;112;222;1
132;233;135;123;142;323;222;233;235;242;121;133;253;133;122;323;153;223;222;222;224;142;123;232;221;122;154;132;112;222;135;222;2
135;123;142;323;222;233;235;242;121;133;253;133;122;323;153;223;222;222;224;142;123;232;221;122;154;132;112;222;135;222;232;112;2
142;323;222;233;235;242;121;133;253;133;122;323;153;223;222;222;224;142;123;232;221;122;154;132;112;222;135;222;232;112;253;121;2
222;233;235;242;121;133;253;133;122;323;153;223;222;222;224;142;123;232;221;122;154;132;112;222;135;222;232;112;253;121;135;141;2
235;242;121;133;253;133;122;323;153;223;222;222;224;142;123;232;221;122;154;132;112;222;135;222;232;112;253;121;135;141;243;232;1
121;133;253;133;122;323;153;223;222;222;224;142;123;232;221;122;154;132;112;222;135;222;232;112;253;121;135;141;243;232;121;132;2
253;133;122;323;153;223;222;222;224;142;123;232;221;122;154;132;112;222;135;222;232;112;253;121;135;141;243;232;121;132;221;122;2
122;323;153;223;222;222;224;142;123;232;221;122;154;132;112;222;135;222;232;112;253;121;135;141;243;232;121;132;221;122;224;43;2
153;223;222;222;224;142;123;232;221;122;154;132;112;222;135;222;232;112;253;121;135;141;243;232;121;132;221;122;224;43;223;53;1
222;222;224;142;123;232;221;122;154;132;112;222;135;222;232;112;253;121;135;141;243;232;121;132;221;122;224;43;223;53;113;44;2
224;142;123;232;221;122;154;132;112;222;135;222;232;112;253;121;135;141;243;232;121;132;221;122;224;43;223;53;113;44;222;55;2
123;232;221;122;154;132;112;222;135;222;232;112;253;121;135;141;243;232;121;132;221;122;224;43;223;53;113;44;222;55;234;56;1
221;122;154;132;112;222;135;222;232;112;253;121;135;141;243;232;121;132;221;122;224;43;223;53;113;44;222;55;234;56;134;47;1
154;132;112;222;135;222;232;112;253;121;135;141;243;232;121;132;221;122;224;43;223;53;113;44;222;55;234;56;134;47;112;48;2
112;222;135;222;232;112;253;121;135;141;243;232;121;132;221;122;224;43;223;53;113;44;222;55;234;56;134;47;112;48;223;38;1
135;222;232;112;253;121;135;141;243;232;121;132;221;122;224;43;223;53;113;44;222;55;234;56;134;47;112;48;223;38;133;39;2
232;112;253;121;135;141;243;232;121;132;221;122;224;43;223;53;113;44;222;55;234;56;134;47;112;48;223;38;133;39;221;39;2
253;121;135;141;243;232;121;132;221;122;224;43;223;53;113;44;222;55;234;56;134;47;112;48;223;38;133;39;221;39;222;59;1
135;141;243;232;121;132;221;122;224;43;223;53;113;44;222;55;234;56;134;47;112;48;223;38;133;39;221;39;222;59;122;49;1
243;232;121;132;221;122;224;43;223;53;113;44;222;55;234;56;134;47;112;48;223;38;133;39;221;39;222;59;122;49;135;139;1
121;132;221;122;224;43;223;53;113;44;222;55;234;56;134;47;112;48;223;38;133;39;221;39;222;59;122;49;135;139;123;229;2
221;122;224;43;223;53;113;44;222;55;234;56;134;47;112;48;223;38;133;39;221;39;222;59;122;49;135;139;123;229;253;229;2
224;43;223;53;113;44;222;55;234;56;134;47;112;48;223;38;133;39;221;39;222;59;122;49;135;139;123;229;253;229;244;217;1
223;53;113;44;222;55;234;56;134;47;112;48;223;38;133;39;221;39;222;59;122;49;135;139;123;229;253;229;244;217;135;216;1
113;44;222;55;234;56;134;47;112;48;223;38;133;39;221;39;222;59;122;49;135;139;123;229;253;229;244;217;135;216;152;216;1
222;55;234;56;134;47;112;48;223;38;133;39;221;39;222;59;122;49;135;139;123;229;253;229;244;217;135;216;152;216;135;315;2
234;56;134;47;112;48;223;38;133;39;221;39;222;59;122;49;135;139;123;229;253;229;244;217;135;216;152;216;135;315;221;225;2
134;47;112;48;223;38;133;39;221;39;222;59;122;49;135;139;123;229;253;229;244;217;135;216;152;216;135;315;221;225;221;224;1
112;48;223;38;133;39;221;39;222;59;122;49;135;139;123;229;253;229;244;217;135;216;152;216;135;315;221;225;221;224;143;114;1
223;38;133;39;221;39;222;59;122;49;135;139;123;229;253;229;244;217;135;216;152;216;135;315;221;225;221;224;143;114;123;213;1
133;39;221;39;222;59;122;49;135;139;123;229;253;229;244;217;135;216;152;216;135;315;221;225;221;224;143;114;123;213;133;313;1
221;39;222;59;122;49;135;139;123;229;253;229;244;217;135;216;152;216;135;315;221;225;221;224;143;114;123;213;133;313;145;503;2
222;59;122;49;135;139;123;229;253;229;244;217;135;216;152;216;135;315;221;225;221;224;143;114;123;213;133;313;145;503;222;414;2
122;49;135;139;123;229;253;229;244;217;135;216;152;216;135;315;221;225;221;224;143;114;123;213;133;313;145;503;222;414;254;334;2
135;139;123;229;253;229;244;217;135;216;152;216;135;315;221;225;221;224;143;114;123;213;133;313;145;503;222;414;254;334;213;324;1
123;229;253;229;244;217;135;216;152;216;135;315;221;225;221;224;143;114;123;213;133;313;145;503;222;414;254;334;213;324;123;423;2
253;229;244;217;135;216;152;216;135;315;221;225;221;224;143;114;123;213;133;313;145;503;222;414;254;334;213;324;123;423;221;323;2
244;217;135;216;152;216;135;315;221;225;221;224;143;114;123;213;133;313;145;503;222;414;254;334;213;324;123;423;221;323;221;223;2
135;216;152;216;135;315;221;225;221;224;143;114;123;213;133;313;145;503;222;414;254;334;213;324;123;423;221;323;221;223;221;233;2
152;216;135;315;221;225;221;224;143;114;123;213;133;313;145;503;222;414;254;334;213;324;123;423;221;323;221;223;221;233;221;143;1
135;315;221;225;221;224;143;114;123;213;133;313;145;503;222;414;254;334;213;324;123;423;221;323;221;223;221;233;221;143;134;133;2
221;225;221;224;143;114;123;213;133;313;145;503;222;414;254;334;213;324;123;423;221;323;221;223;221;233;221;143;134;133;234;133;2
221;224;143;114;123;213;133;313;145;503;222;414;254;334;213;324;123;423;221;323;221;223;221;233;221;143;134;133;234;133;254;43;1
143;114;123;213;133;313;145;503;222;414;254;334;213;324;123;423;221;323;221;223;221;233;221;143;134;133;234;133;254;43;121;234;1
123;213;133;313;145;503;222;414;254;334;213;324;123;423;221;323;221;223;221;233;221;143;134;133;234;133;254;43;121;234;124;123;1
133;313;145;503;222;414;254;334;213;324;123;423;221;323;221;223;221;233;221;143;134;133;234;133;254;43;121;234;124;123;212;323;1
145;503;222;414;254;334;213;324;123;423;221;323;221;223;221;233;221;143;134;133;234;133;254;43;121;234;124;123;212;323;152;223;1
222;414;254;334;213;324;123;423;221;323;221;223;221;233;221;143;134;133;234;133;254;43;121;234;124;123;212;323;152;223;152;222;1
254;334;213;324;123;423;221;323;221;223;221;233;221;143;134;133;234;133;254;43;121;234;124;123;212;323;152;223;152;222;133;312;2
213;324;123;423;221;323;221;223;221;233;221;143;134;133;234;133;254;43;121;234;124;123;212;323;152;223;152;222;133;312;235;212;1
123;423;221;323;221;223;221;233;221;143;134;133;234;133;254;43;121;234;124;123;212;323;152;223;152;222;133;312;235;212;144;212;1
221;323;221;223;221;233;221;143;134;133;234;133;254;43;121;234;124;123;212;323;152;223;152;222;133;312;235;212;144;212;121;312;2
221;223;221;233;221;143;134;133;234;133;254;43;121;234;124;123;212;323;152;223;152;222;133;312;235;212;144;212;121;312;243;302;2
221;233;221;143;134;133;234;133;254;43;121;234;124;123;212;323;152;223;152;222;133;312;235;212;144;212;121;312;243;302;222;323;1
